lat,lon,year,month,sst,mld,scew,scns,sal,chlor,pred
41.24,-70.03,2017.0,7.0,22.885,12.354,0.038,0.005,34.919,1.028,0.6173333333333333
42.02,-70.21,2015.0,4.0,15.4,42.14,0.037,-0.002,35.3,0.676,0.9216666666666667
42.05,-68.9,2005.0,6.0,19.252,13.042,0.035,0.008,34.909,0.844,0.673436507936508
41.71,-69.83,2013.0,4.0,15.155,44.587,0.023,0.011,35.257,1.059,0.8206666666666667
29.74,-81.08,2015.0,3.0,14.945,68.358,0.039,0.002,35.41,0.501,0.7223452380952381
42.16,-70.2,2011.0,7.0,22.493,12.158,0.039,0.004,34.863,0.806,0.8690000000000001
41.88,-70.22,2015.0,4.0,15.4,42.14,0.037,-0.002,35.3,0.676,0.4817380952380954
48.64,-63.65,2017.0,8.0,24.224,14.249,0.036,0.007,34.999,1.04,0.6007380952380952
42.97,-70.27,2010.0,11.0,19.035,46.606,0.023,0.0,35.054,1.091,0.6601666666666668
42.24,-70.03,2003.0,7.0,22.665,12.303,0.039,0.01,35.02,0.82,0.4568333333333334
30.42,-81.37,2004.0,3.0,14.367,69.599,0.024,0.013,35.287,0.657,0.5073333333333333
42.3,-70.37,2006.0,5.0,17.245,14.992,0.03,0.006,35.104,0.961,0.5800000000000001
30.06,-81.3,2005.0,1.0,15.604,74.672,0.023,-0.013,35.262,0.537,0.7831666666666668
42.06,-70.25,2016.0,8.0,24.59,14.065,0.037,0.005,34.957,0.973,0.81
30.48,-81.25,2003.0,2.0,14.627,76.24,0.037,-0.013,35.383,0.537,0.05833333333333334
29.2,-80.99,2016.0,1.0,16.139,73.567,0.037,-0.009,35.289,0.618,0.6497857142857143
41.87,-69.94,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.25265476190476194
42.08,-69.72,2005.0,2.0,14.793,77.596,0.025,-0.009,35.191,0.507,0.5666666666666665
43.58,-69.91,2002.0,4.0,15.546,27.886,0.038,0.001,35.308,0.846,0.95
41.98,-70.32,2003.0,4.0,15.157,38.586,0.033,0.005,35.301,1.052,0.5283041680541679
42.08,-70.35,2015.0,4.0,15.4,42.14,0.037,-0.002,35.3,0.676,0.8994880952380953
41.52,-69.32,2004.0,4.0,15.067,26.059,0.031,0.007,35.199,1.091,0.7521666666666667
41.8,-70.43,2015.0,5.0,17.151,20.622,0.04,0.016,35.205,1.104,0.875
30.72,-81.3,2003.0,12.0,17.119,63.112,0.029,0.004,35.252,0.606,0.7633333333333334
42.09,-70.17,2012.0,3.0,15.02,59.397,0.029,-0.009,35.169,0.842,0.44704761904761897
43.5,-68.33,2006.0,12.0,17.128,61.928,0.031,-0.011,35.081,0.655,0.49732142857142864
40.29,-73.97,2010.0,1.0,14.997,94.105,0.026,-0.001,35.313,0.655,0.2773333333333333
47.75,-63.98,2017.0,7.0,22.885,12.354,0.038,0.005,34.919,1.028,0.15166666666666667
50.06,-64.32,2017.0,7.0,22.885,12.354,0.038,0.005,34.919,1.028,0.141
42.02,-70.19,2017.0,5.0,16.991,20.737,0.036,0.002,35.357,0.91,0.5113349428349427
43.02,-70.16,2004.0,11.0,18.529,50.401,0.029,0.006,35.065,0.726,0.5111666666666665
41.96,-70.41,2016.0,3.0,15.224,52.131,0.039,-0.0,35.288,0.774,0.2563333333333333
42.97,-70.1,2002.0,11.0,18.823,44.959,0.043,-0.013,35.306,0.777,0.7554999999999998
42.88,-70.17,2011.0,10.0,21.335,30.384,0.027,-0.001,34.833,0.968,0.26657142857142857
41.78,-70.38,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.5336428571428571
